id,Stock,Beta,marketcap,trailingPE,forwardPE
125,SEE,1.281,5375176704,15.897437,11.376147
126,BBVA,1.463,68615643136,8.457143,7.789474
127,APOG,1.097,1307437952,12.595745,13.333333
128,ANDE,0.681,1953436928,19.513605,14.786081
129,ALEX,1.24,1195591808,29.410713,21.96
130,ALCO,0.868,223136144,4.6550083,62.297874
131,ADUS,0.94,1676929152,26.981722,19.68381
132,WMS,1.514,13368718336,27.383148,25.034883
133,PAG,1.198,10860959744,10.450968,10.982373
134,MDRX,0.62,841301952,8.953488,8.191489
135,KLIC,1.47,2834520832,55.9,18.097122
136,AMH,0.711,15355833344,36.41584,51.08333
137,AME,1.222,42288672768,32.257496,24.419226
138,AJG,0.684,54584483840,56.44244,22.049381
139,AGCO,1.311,9179505664,7.8657284,9.588465
140,WAL,1.456,7072454656,9.814985,6.7639623
141,NOG,1.864,4002640640,3.9561317,6.5263157
142,GIII,2.441,1317555840,7.736,8.171831
143,CVU,1.694,29653414,3.162162,6.0
144,ARE,1.063,22552031232,238.72221,37.69298
145,ANSS,1.155,30209099776,60.586388,32.26394
146,AMNB,0.914,507722208,19.414633,19.899998
147,AIN,1.26,2917053952,26.340845,19.853504
148,AGX,0.462,673592064,20.461538,15.222892
149,ACLS,1.636,3638429184,15.009421,13.182033
150,ABG,1.168,4810878464,8.203897,7.295173
151,NXJ,0.47,498476352,57.52381,-302.0
152,HOLI,0.543,1588410496,13.606383,11.268723
153,GPI,1.421,3999430656,6.8357897,7.3646674
154,AXTA,1.505,7570614272,28.421486,16.070093
155,AWR,0.424,2672070912,21.5,22.091743
156,AWI,1.119,5441867264,24.89379,19.229103
157,ATHM,0.223,3230880768,12.367925,10.702041
158,ASM,1.868,80197544,62.300003,8.900001
159,AROC,1.576,3074204416,29.358208,16.669493
160,ALX,0.763,1108996992,10.87331,16.690237
161,AGI,0.973,5854348800,27.83019,21.376812
162,AER,1.844,17598666752,6.306967,8.047222
163,AE,0.83,74432848,362.5,-90.625
164,FMS,0.935,11314025472,20.956522,7.3587794
165,DOX,0.694,10528285696,19.30983,12.656863
166,CXW,0.828,1757810816,26.457628,19.271605
167,AXS,0.799,5490743808,16.17413,6.1571965
168,ASGN,1.498,4871340032,23.28,16.36875
169,APT,-0.727,71522880,17.828571,5.37931
170,AMBC,1.302,706404096,86.83333,44.657143
171,ALGT,1.574,1375312640,11.957075,7.950317
172,AIT,1.077,7639159808,20.751049,19.598215
173,AEL,0.789,4463867904,27.291264,7.974468
174,AEHR,2.012,357730080,17.464788,22.545454
175,MANH,1.445,15405710336,88.420494,57.26087
176,LAMR,1.516,12187701248,24.62062,21.022888
177,KYN,1.589,1692951296,14.098593,3.4756944
178,AM,2.13,6744764928,19.260275,13.784314
179,ALV,1.728,9809674240,21.091068,10.205932
180,AKR,1.456,1915019904,85.05,40.5
181,WRLD,1.413,881518976,12.762324,10.9750185
182,UHAL,1.066,13095736320,20.845678,15.008889
183,SAH,1.825,1941659648,11.45674,8.869159
184,CACC,1.458,6785719296,25.059063,13.194976
185,ATSG,0.835,903782976,16.780489,13.23077
186,ASB,0.991,3232178688,19.035398,9.037815
187,AROW,0.686,414158560,14.135593,9.441509
188,ARCB,1.494,3349291520,24.696707,11.255924
189,AMRK,0.031,701404608,6.82,5.9708176
190,ALRM,0.95,3619528704,47.366016,32.066372
191,AGRX,1.498,1007644,0.046511628,0.3090909
192,ABEV,0.537,39208054784,13.777778,13.052631
193,RGA,0.883,12683230208,14.3511915,9.06391
194,AVD,0.981,372896544,49.807693,15.235293
195,AUDC,0.811,399602976,46.571426,10.957983
196,ARC,1.194,118461544,14.578947,8.65625
197,AMWD,1.734,1610833280,14.002755,11.146931
198,ALLY,1.38,12337695744,13.575251,7.5446095
199,ACGL,0.57,34586521600,7.95525,10.849765
200,ABR,1.953,2497691136,7.571429,7.1621623
201,ABCB,1.052,3339681024,12.437018,9.975258
202,SAMG,0.872,149862992,16.46875,9.410715
203,MITT,1.992,180249904,3.642857,7.948052
204,HASI,1.843,3227858688,20.0,10.716981
205,GIL,1.62,6262382592,12.254126,11.35474
206,ATR,0.582,9520582656,33.93632,25.19965
207,ASR,0.778,9560399872,15.65995,13.879791
208,ASC,0.395,681996480,6.0590405,6.8991594
209,ARTNA,0.168,380114016,22.221558,17.67143
210,ACNB,0.589,319799648,10.13477,10.681818
211,AAT,1.275,1688774528,26.083334,26.719513
212,LNT,0.534,12907440128,18.129498,15.365854
213,KALU,1.336,1431171840,30.60274,13.559939
214,HOMB,1.1,4941911552,12.6649475,12.535714
215,FAF,1.289,6294255104,29.492754,11.099999
216,CAAS,2.431,107159232,3.446602,5.546875
217,ATLC,1.863,432410496,6.978774,4.9814816
218,ARIS,1.638,817802048,23.983051,11.504065
219,APLE,1.1,3956195584,21.272726,18.199999
220,ANIP,0.8,1456437632,81.32941,13.7162695
221,AMSWA,0.698,380370144,36.935482,30.131578
222,AMSF,0.29,960002944,15.532507,20.148594
223,AGYS,0.649,2305673728,26.006174,66.34646
224,AFG,0.775,11418147840,13.593625,11.459278
225,AVNW,1.72,481063488,30.428572,9.216347
226,APPF,0.805,8849972224,3524.8572,48.47544
227,ALLE,1.14,11794453504,22.01144,17.818785
228,AGM,1.074,2069878272,12.46076,10.711644
229,OMAB,0.977,4289509120,15.064761,15.599605
230,NOA,1.702,595751616,14.467533,6.1717453
231,CRESY,1.227,664988544,8.93,4.0776258
232,ATEN,1.105,1019840576,25.830189,15.735632
233,REX,1.039,1027642240,21.118706,14.42506
234,PAC,1.038,8244604928,14.213415,13.654393
235,GABC,0.602,1024814016,11.90378,13.171102
236,ARES,1.189,41423269888,54.724277,21.943893
237,AMRC,1.541,1261586304,20.623932,11.8867
238,VLRS,1.852,854375936,106.0,11.59375
239,EVTC,1.195,2611486976,32.97521,12.507837
240,APP,1.873,22948577280,70.63265,22.185898
241,ALOT,0.63,132452496,39.6,50.914288
242,AGRO,1.103,1168186112,8.043796,11.978261
243,ACU,0.744,171287952,9.668724,18.142859
244,TKC,0.754,4635811840,13.657895,3.9618323
245,PEO,1.157,588362048,57.649998,384.33334
246,AMPH,0.848,2111890944,16.888462,10.140878
247,AGR,0.542,14093934592,17.950739,15.120331
248,PAHC,0.75,523711552,34.945946,10.512196
249,FWRD,1.001,820383168,18.969513,17.093407
250,AXON,0.932,23560740864,134.86208,54.89123
251,AVAL,0.583,2742362624,12.833332,5.25
252,APAM,1.862,3158088960,14.347962,12.9293785
253,AMS,0.664,18585000,42.142857,12.826087
254,NSA,0.854,5276300800,26.45946,43.511112
255,EADSY,1.525,145726193664,35.507694,24.817204
256,ASTE,1.378,994113984,29.734694,14.1
257,AI.PA,0.657,100734402560,32.795918,25.076723
258,TRAN.BA,1.373,584079245312,88.51078,15.218399
259,SBI,0.351,111531816,34.434784,792.0
260,FTAI,1.933,6746555904,31.895737,21.639874
261,USA,1.105,1977604224,4.89726,715.0
262,PHX,0.574,127664264,8.74359,10.656251
263,AYA.TO,1.327,1515240320,388.66666,27.116278
264,ALA.TO,1.221,8836184064,13.238938,12.731915
265,AIR.PA,1.525,135434567680,35.566666,20.718447
266,AIF,0.6,206835200,8.411764,13.490567
267,ABX.TO,0.412,39552995328,22.989796,15.32653
268,ORG.AX,1.235,15849298944,9.684211,10.952381
269,MOG-A,1.18,5093345792,29.674719,19.73424
270,CS.PA,1.237,78409990144,12.088541,9.113874
271,ANZ.AX,0.765,88236457984,12.951542,13.303167
272,AC,0.902,703042560,19.01744,12.629344
273,AC.PA,1.31,10868299776,17.530363,17.32
274,ABI.BR,0.988,109430775808,23.427385,15.949152
275,XRF.AX,0.861,169874064,20.5,17.571428
276,WOW.AX,0.269,40520138752,3317.0,21.679737
277,SIEGY,1.285,150764126208,15.984925,15.799669
278,QBE.AX,0.712,27140065280,13.52985,9.542105
279,MT.AS,1.885,20694990848,25.20297,5.4159575
280,IAG.TO,1.134,8384933888,11.25,7.460107
281,BXB.AX,0.527,22474500096,20.974026,17.365591
282,BHP.AX,0.853,224201441280,19.852018,20.686914
283,AV.L,0.909,13535379456,1342.1621,10.006044
284,ASII.JK,0.552,208490530340864,6.1596236,6.6587367
285,ALV.DE,1.086,108903989248,13.122342,10.443608
286,AKRA.JK,0.342,33947985641472,12.209839,11.196459
287,AKO-B,0.387,2350653696,13.423423,10.205479
288,3264.TWO,1.086,39619710976,14.666667,14.463667
289,STO.AX,1.144,25170219008,11.742424,12.5
290,MQG.AX,1.119,76917653504,18.187614,17.65694
291,HNNA,0.787,52959984,10.78125,5.52
292,FMAO,0.608,304577248,13.347306,12.7371435
293,BBCA.JK,0.374,1241995691425792,25.510204,21.43845
294,ARX.TO,1.312,14413999104,9.252873,7.2960725
295,AMEH,1.036,1830332032,39.25,26.855263
296,AKSO.OL,1.492,18888880128,194.09999,8.7629795
297,AHT.L,1.328,24862980096,1931.5068,1735.3846
298,AFN.TO,2.319,1166195840,17.83721,9.227068
299,AF.PA,1.823,2710657792,3.2885349,2.2997775
300,ACDVF,2.403,5187046400,3.2961278,4.6527333
301,WHC.AX,0.182,5939867136,5.1079135,5.0
302,WES.AX,0.768,77618954240,30.950226,27.46988
303,WDS.AX,0.744,57911873536,22.93233,29.901962
304,VWS.CO,1.263,194248720384,321.66666,643.3333
305,VOLV-B.ST,1.07,591142584320,11.835985,11.807082
306,TLS.AX,0.327,44599984128,21.444443,20.315788
307,SXL.AX,1.74,229103552,31.833334,11.9375
308,REA.AX,1.014,24503740416,87.07511,45.12652
309,RBA.TO,0.867,18909511680,73.17021,21.272165
310,PACT.ST,1.334,3041488896,17.66773,13.454988
311,NHYDY,1.339,11067324416,34.5,5.52
312,NAB.AX,0.862,108105203712,15.060869,15.464286
313,MDA.TO,0.126,1759257216,36.774998,14.858585
314,LAU.AX,0.234,347422880,9.291667,7.964286
315,KOV.AX,0.584,98800960,8.057143,9.837209
316,GIL.TO,1.62,8478587904,12.201457,11.322072
317,FUTU,0.8,7561019392,13.849105,11.472459
318,ESOA,0.793,137039104,15.0,18.333334
319,E5H.SI,0.553,3424059136,4.5000005,5.4
320,DTEGY,0.58,120880521216,27.202246,13.37569
321,CPU.AX,0.703,15617383424,23.106195,13.389744
322,CLAS-B.ST,1.144,9186808832,20.684736,14.529058
323,CBA.AX,0.904,201355280384,20.928696,21.527727
324,CARL-B.CO,0.568,131421765632,18.520117,15.425862
325,BILL.ST,0.412,23865962496,49.241024,11.582629
326,AZN.L,0.173,165531418624,3535.7617,1464.7462
327,AXFO.ST,0.173,67150114816,28.629257,22.260374
328,AXAHY,1.237,84682342400,12.051282,13.9776945
329,ASURB.MX,0.778,157307994112,15.417819,11.764864
330,ASML.AS,1.127,353237139456,44.83417,31.250439
331,ASHOKLEY.NS,0.856,502846521344,21.141973,22.096775
332,AQN.TO,0.453,5901606912,214.00002,11.7260275
333,ANN.AX,0.507,3082086144,19.664,14.290697
334,ALNPY,0.502,9926616064,9.333333,12.0
335,AEM.TO,1.031,40245268480,15.069029,25.319748
336,ADHI.JK,1.527,2455022075904,11.468971,1.2702832
337,ACQ.TO,2.601,634669056,13.048544,7.791304
338,0522.HK,1.265,40787292160,56.878613,16.820513
339,WOR.AX,1.432,8837635072,36.413044,18.010752
340,WBC.AX,0.871,91449966592,13.384615,14.184783
341,WALMEX.MX,0.132,1169913806848,22.789116,18.4573
342,UBAB,0.383,148373408,5.745554,6.122449
343,TCL.AX,0.6,41187835904,190.2857,78.352936
344,TCL-A.TO,1.004,1280239360,12.903509,6.5964127
345,SKFRY,1.064,9522006016,15.684211,13.545455
346,SAND.ST,1.339,298168516608,19.515598,16.518415
347,RWEOY,0.643,25283158016,16.109007,10.056213
348,RHC.AX,0.643,12965371904,62.098896,29.279793
349,PLS.AX,1.375,11526269952,8.511111,27.357141
350,PETS.L,0.564,1267967232,1677.5,13.326714
351,ORK.OL,-0.076,76361433088,14.690979,11.959375
